"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","Level","hcs"
"364",1,2,3,2,2,3,5,1,2,1,2,3,4,5,4,4,3,2,3,2,3,4,3,4,5,2.92,1
"365",5,4,3,4,5,3,5,5,1,3,4,3,1,3,4,2,4,1,3,5,2,4,2,4,1,3.24,2
"366",5,1,1,2,3,5,2,3,4,4,1,4,4,2,5,3,5,3,1,4,5,5,4,1,2,3.16,1
"367",3,1,1,1,1,4,5,5,1,5,5,1,1,1,5,1,1,1,2,2,1,3,4,5,5,2.6,1
"368",5,1,1,2,4,3,2,3,4,2,5,1,5,3,4,2,5,1,3,4,2,3,5,4,5,3.16,2
"369",1,1,1,3,1,4,2,1,1,1,4,4,3,1,5,1,5,1,1,4,5,1,1,2,4,2.32,1
"370",1,5,2,2,5,5,5,5,1,2,1,1,1,2,2,1,2,1,2,1,2,1,3,5,3,2.44,1
"371",1,5,2,2,5,5,5,5,3,2,1,1,2,5,2,4,1,1,2,3,4,3,4,3,3,2.96,1
"372",1,4,5,5,5,5,5,3,5,5,4,5,1,4,2,1,1,1,5,4,5,4,4,5,3,3.68,2
"373",1,4,2,1,3,1,4,5,3,4,5,1,3,5,2,5,3,1,5,3,4,5,4,4,3,3.24,1
"374",5,4,1,1,1,1,1,2,4,1,3,3,1,2,1,2,2,2,1,1,4,4,1,2,4,2.16,1
"375",5,4,1,1,3,1,5,2,4,1,3,3,1,2,1,2,2,2,1,1,3,4,4,3,4,2.52,1
"376",5,1,1,1,5,1,5,2,4,1,3,3,1,2,1,2,2,2,1,1,4,4,1,2,4,2.36,1
"377",1,1,1,3,1,1,3,3,3,3,3,2,2,2,2,4,2,2,2,3,2,2,3,4,4,2.36,1
"378",5,1,2,3,3,3,2,3,2,3,1,4,4,2,4,3,1,1,2,3,3,3,3,4,3,2.72,1
"379",1,5,5,1,1,4,5,4,5,4,4,2,1,3,4,3,3,2,1,1,1,1,3,4,5,2.92,2
"380",1,1,1,3,5,3,4,3,2,2,2,4,2,2,4,3,2,2,2,3,3,3,2,3,3,2.6,1
"381",1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,1,1,3,2,2,3,1,5,1.92,1
"382",5,3,5,4,5,3,5,4,5,3,5,1,5,3,5,3,5,3,4,4,1,4,3,5,2,3.8,2
"383",5,4,4,3,2,5,3,5,4,3,2,4,5,4,3,4,5,5,3,4,2,5,4,3,2,3.72,2
"384",5,4,3,5,3,5,3,3,3,5,5,4,4,2,3,5,3,5,3,5,4,5,5,3,1,3.84,2
"385",5,3,1,4,5,3,5,3,5,4,5,3,5,4,4,3,4,2,3,5,1,5,2,3,5,3.68,2
"386",3,5,4,3,5,3,5,4,1,4,3,5,1,4,5,3,5,3,5,2,5,1,1,3,5,3.52,2
"387",5,3,5,3,5,2,5,5,4,5,3,5,3,5,3,5,1,5,3,5,3,5,2,5,3,3.92,2
"388",5,4,5,5,4,5,1,5,3,1,4,2,4,5,4,5,1,5,3,4,1,5,3,5,3,3.68,2
"389",4,5,4,5,2,5,3,4,5,2,5,3,5,3,5,3,5,3,5,3,5,3,5,3,1,3.84,2
"390",4,5,3,1,5,3,5,4,3,5,3,5,2,5,3,5,3,5,3,5,3,5,3,1,4,3.72,2
"391",3,3,5,5,3,3,1,5,5,3,4,4,3,3,3,2,2,2,4,5,4,4,5,5,4,3.6,2
"392",5,3,1,5,5,4,2,5,4,4,4,5,5,5,3,3,1,2,1,2,1,4,4,5,5,3.52,2
"393",5,3,4,5,5,1,5,5,4,3,2,5,1,4,3,2,4,2,3,3,4,5,4,2,1,3.4,2
"394",3,4,3,5,5,2,1,5,5,5,4,5,5,5,3,3,2,3,1,5,5,1,4,4,4,3.68,2
"395",3,3,3,3,3,1,4,4,5,3,3,3,3,3,5,4,4,5,5,3,5,2,4,2,1,3.36,1
"396",5,3,4,5,4,1,2,3,5,3,5,5,3,1,3,5,3,5,4,4,4,3,2,3,1,3.44,2
"397",3,4,5,3,5,3,1,4,5,4,5,3,5,3,5,1,1,3,5,3,3,4,5,3,1,3.48,2
"398",5,4,3,4,5,3,5,2,4,5,1,4,2,5,5,3,3,4,1,3,5,2,1,4,1,3.36,2
"399",5,1,3,1,4,1,3,2,4,2,1,3,3,5,3,4,1,3,3,2,3,4,5,5,2,2.92,1
"400",3,4,4,5,5,3,1,5,4,5,3,2,5,3,1,1,1,1,3,4,5,3,3,3,4,3.24,2
"401",3,5,3,5,3,2,4,5,4,3,4,5,4,4,5,3,1,5,3,1,1,3,1,5,3,3.4,2
"402",3,4,3,2,4,5,3,5,5,5,3,3,3,4,5,3,5,3,3,5,5,3,1,4,3,3.68,2
"403",5,3,4,5,4,3,5,3,5,3,3,5,2,3,3,5,3,3,5,3,5,3,5,3,5,3.84,2
"404",5,3,3,3,4,4,4,5,1,1,1,3,3,5,3,4,2,3,4,3,5,5,5,2,1,3.28,1
"405",5,4,3,5,1,4,5,5,1,4,3,4,1,5,3,5,2,4,2,2,2,5,5,5,3,3.52,1
"406",5,4,4,3,5,3,2,3,3,4,3,2,2,2,4,2,2,2,3,3,1,4,3,4,4,3.08,2
"407",5,3,4,3,3,5,3,4,4,3,2,3,4,3,2,2,2,3,3,2,3,2,3,2,3,3.04,1
"408",3,4,3,1,3,4,5,2,4,4,2,2,4,2,5,3,4,2,3,3,3,2,3,2,3,3.04,1
"409",3,4,3,4,3,2,1,4,3,2,4,4,4,5,2,3,3,1,3,3,3,2,3,2,3,2.96,1
"410",4,3,3,3,2,3,2,5,4,3,4,4,4,3,3,3,3,4,4,5,2,4,3,4,2,3.36,2
"411",4,2,4,1,4,2,3,5,4,2,1,4,4,5,2,4,5,2,4,1,4,2,4,2,4,3.16,1
"412",4,5,2,4,1,4,2,4,1,5,4,4,5,4,4,5,2,3,1,4,1,4,1,4,1,3.16,2
"413",3,2,4,2,4,2,4,4,2,5,3,1,3,2,4,3,1,4,4,4,1,5,3,1,4,3,1
"414",3,1,4,2,4,1,3,5,2,3,1,5,2,4,1,5,3,2,4,3,5,2,4,4,3,3.04,1
"415",4,2,5,3,4,5,2,4,4,2,4,3,1,5,3,2,4,3,4,4,5,4,5,4,5,3.64,2
"416",5,3,4,4,1,3,4,3,5,3,4,2,3,5,4,5,2,5,3,2,3,5,3,2,4,3.48,2
"417",5,4,3,3,2,1,4,5,4,5,4,5,3,4,2,3,4,2,1,5,3,4,5,2,1,3.36,2
"418",5,3,5,4,3,5,2,3,4,3,5,3,2,4,2,5,4,1,5,4,5,5,1,4,2,3.56,2
"419",4,2,4,1,3,2,3,4,2,4,4,2,5,4,2,4,5,2,4,3,1,4,4,3,2,3.12,2
"420",4,5,4,3,5,1,4,4,5,4,5,1,4,4,2,4,3,4,2,5,2,3,1,5,4,3.52,2
"421",3,2,4,1,3,4,1,4,2,3,4,1,5,4,4,1,5,4,4,1,5,2,3,1,4,3,1
"422",4,2,5,2,4,4,5,3,1,4,3,5,3,1,5,2,3,3,5,5,4,3,2,2,1,3.24,2
"423",5,3,4,2,3,4,5,5,3,2,1,3,4,2,1,2,3,5,1,4,2,1,4,2,1,2.88,1
"424",5,3,5,4,3,5,4,3,4,3,5,4,4,3,2,3,5,4,2,1,5,4,4,2,1,3.52,2
"425",5,3,1,5,4,4,3,5,4,1,4,4,1,5,3,1,5,2,3,4,2,1,4,2,3,3.16,2
"426",5,3,4,2,4,1,3,5,4,3,2,1,3,4,3,2,1,4,2,3,5,4,5,2,5,3.2,1
"427",4,5,3,5,3,5,2,3,5,3,5,2,5,3,5,3,5,3,5,1,4,5,3,4,3,3.76,2
"428",5,5,3,2,1,5,4,5,5,5,2,2,2,1,1,5,5,3,2,4,5,5,4,4,4,3.56,2
"429",5,5,3,2,5,4,4,5,3,5,4,3,4,1,4,4,5,5,5,3,2,3,2,1,1,3.52,1
"430",5,2,3,4,5,5,4,1,2,4,5,3,1,5,5,5,4,5,3,3,5,4,4,5,5,3.88,2
"431",3,3,4,5,3,5,3,1,4,5,4,5,3,5,3,5,1,1,2,4,5,4,4,5,5,3.68,2
"432",5,4,3,2,5,3,7,2,4,4,1,3,3,3,3,2,5,3,4,4,2,1,4,2,1,3.2,1
"433",1,1,1,1,1,3,2,5,2,1,2,1,1,3,1,1,3,4,2,1,5,4,4,2,1,2.12,1
"434",5,3,5,4,5,3,5,4,5,3,5,1,5,3,5,3,5,2,3,4,2,1,4,2,3,3.6,2
"435",5,4,4,3,2,5,3,5,4,3,2,4,5,4,3,4,5,4,2,3,5,4,5,2,5,3.8,2
"436",5,4,3,5,3,5,3,3,3,5,5,4,4,2,3,5,3,3,5,1,4,5,3,4,3,3.72,2
"437",5,3,1,4,5,3,5,3,5,4,5,3,5,4,4,3,4,5,3,5,3,5,2,5,3,3.88,2
"438",3,5,4,3,5,3,5,4,1,4,3,5,1,4,5,3,5,5,3,4,1,5,3,5,3,3.68,2
"439",3,3,3,3,3,1,4,4,5,3,3,3,3,3,5,4,4,3,5,3,5,3,5,3,1,3.4,1
"440",5,3,4,5,4,1,2,3,5,3,5,5,3,1,3,5,3,5,3,5,3,5,3,1,4,3.56,2
"441",3,4,5,3,5,3,1,4,5,4,5,3,5,3,5,1,1,2,4,5,4,4,5,5,4,3.72,2
"442",5,4,3,4,5,3,5,2,4,5,1,4,2,5,5,3,3,2,1,2,1,4,4,5,5,3.48,2
"443",5,1,3,1,4,1,3,2,4,2,1,3,3,5,3,4,1,2,3,3,4,5,4,2,1,2.8,1
"444",3,4,4,5,5,3,1,5,4,5,3,2,5,3,1,1,1,3,1,5,5,1,4,4,4,3.28,2
"445",3,5,3,5,3,2,4,5,4,3,4,5,4,4,5,3,1,3,3,3,3,3,3,3,3,3.48,2
"446",1,1,5,5,3,5,5,4,5,4,5,4,4,4,5,5,2,2,1,2,3,1,1,5,4,3.44,2
"447",5,5,2,1,3,4,5,4,5,4,3,4,5,5,5,4,5,5,1,1,2,2,3,5,5,3.72,2
"448",3,4,4,5,4,5,5,5,4,3,4,2,5,2,5,5,4,4,3,1,4,4,5,5,5,4,2
"449",5,4,5,3,2,3,5,5,5,3,4,4,4,4,2,1,2,1,5,4,3,5,5,4,5,3.72,2
"450",5,4,5,3,5,4,5,5,1,1,3,2,5,5,5,4,4,5,3,2,5,4,1,5,4,3.8,2
"451",5,3,5,2,5,1,4,5,5,4,4,3,5,3,5,4,2,5,1,5,3,5,5,4,5,3.92,2
"452",5,2,3,4,5,5,4,1,2,4,5,3,1,4,4,2,4,3,1,5,3,2,4,3,5,3.36,2
"453",3,3,4,5,3,5,3,1,4,5,4,5,3,3,5,3,4,2,3,5,4,5,2,1,3,3.52,1
"454",5,4,3,2,5,3,7,2,4,4,1,3,3,5,4,5,4,5,3,4,2,3,4,3,5,3.72,2
"455",1,1,1,1,1,3,2,5,2,1,2,1,1,3,4,3,5,3,2,4,2,5,4,5,5,2.68,1
"456",5,3,5,4,5,3,5,4,5,3,5,1,5,4,2,4,4,2,5,4,2,4,5,5,3,3.88,2
"457",5,4,4,3,2,5,3,5,4,3,2,4,5,4,5,4,5,1,4,4,2,4,3,3,1,3.56,2
"458",5,4,3,5,3,5,3,3,3,5,5,4,4,4,2,3,4,1,5,4,4,1,5,4,5,3.76,2
"459",5,3,1,4,5,3,5,3,5,4,5,3,5,5,4,4,3,4,2,3,5,1,5,2,3,3.68,2
"460",3,5,4,3,5,3,5,4,1,4,3,5,1,1,4,5,3,5,3,5,2,5,1,1,5,3.44,2
"461",3,3,3,3,3,1,4,4,5,3,3,3,3,3,3,5,4,4,5,5,3,5,2,4,3,3.48,2
"462",5,3,4,5,4,1,2,3,5,3,5,5,3,3,1,3,5,3,5,4,4,4,3,2,3,3.52,1
"463",5,3,5,3,5,3,1,4,3,3,2,4,4,5,3,5,1,1,3,5,3,3,4,5,2,3.4,1
"464",5,4,5,1,5,3,5,5,2,5,3,5,4,3,5,3,4,1,5,3,4,2,5,4,1,3.68,1
"465",5,4,4,1,4,4,3,4,3,4,5,3,3,2,4,3,4,3,1,2,4,4,3,5,5,3.48,2
"466",5,4,4,3,4,4,3,4,3,4,5,3,3,2,4,3,4,3,3,2,4,4,3,5,4,3.6,2
"467",5,1,5,1,1,2,1,1,1,1,1,4,1,1,1,3,3,1,1,2,2,2,1,3,1,1.84,1
"468",5,5,1,4,2,4,3,4,3,4,3,3,1,3,2,3,3,3,4,4,4,3,4,4,5,3.36,2
"469",5,2,1,5,4,5,3,5,4,5,5,2,1,1,4,4,1,4,1,4,2,1,4,5,4,3.28,1
"470",5,4,5,5,4,5,3,5,4,5,5,2,1,3,4,1,4,1,4,2,2,1,4,5,4,3.52,2
"471",5,4,1,4,2,4,3,4,3,4,3,3,1,3,2,3,3,3,4,4,4,3,4,4,5,3.32,2
"472",5,4,3,5,3,5,3,3,3,5,5,4,5,3,1,1,1,3,1,5,5,1,4,4,4,3.44,2
"473",5,3,1,4,5,3,5,3,5,4,5,3,4,4,5,3,1,4,5,3,5,2,5,5,5,3.88,1
"474",3,5,4,3,5,3,5,4,1,4,3,5,4,4,5,5,2,2,1,2,3,1,1,5,4,3.36,2
"475",3,3,3,3,3,1,4,4,5,3,3,3,5,5,5,4,5,5,1,1,2,2,3,5,5,3.44,2
"476",5,3,4,5,4,1,2,3,5,3,5,5,5,2,5,5,4,4,3,1,4,4,5,5,5,3.88,2
"477",3,4,5,3,5,3,1,4,5,4,5,3,4,4,2,1,2,1,5,4,3,5,5,4,5,3.6,2
"478",5,4,3,4,5,3,5,2,4,5,1,4,5,5,5,4,4,5,3,2,5,4,1,5,4,3.88,2
"479",5,1,3,1,4,1,3,2,4,2,1,3,5,3,5,4,2,5,1,5,3,5,5,4,5,3.28,2
"480",4,0,3,2,4,3,5,4,1,5,3,5,1,4,4,2,4,3,1,5,3,2,4,3,5,3.2,2
"481",4,5,3,1,4,5,1,3,5,3,5,4,5,3,5,2,5,3,5,1,1,4,5,2,4,3.52,2
"482",4,5,3,4,2,5,1,5,3,5,4,5,1,5,4,2,3,1,4,1,5,3,4,5,1,3.4,1
"483",5,4,3,5,5,4,5,5,4,1,5,2,3,5,2,3,1,1,5,4,4,5,3,4,4,3.68,2
"484",3,3,2,4,3,4,1,5,4,3,2,5,1,4,4,1,3,3,5,4,5,1,5,3,1,3.16,1
"485",5,4,3,2,5,5,4,5,1,1,2,2,5,4,5,1,4,5,1,5,1,5,4,4,1,3.36,2
"486",1,1,5,4,5,3,5,5,5,4,5,3,1,1,5,4,5,4,4,4,5,5,5,4,5,3.92,2
"487",2,4,2,4,5,5,5,5,3,2,4,5,4,5,5,5,5,3,1,4,2,4,5,5,1,3.8,2
"488",5,2,5,3,5,4,5,1,2,2,1,5,5,4,5,4,4,4,5,1,1,5,5,4,4,3.64,2
"489",5,5,4,3,5,4,5,5,5,2,3,2,1,5,5,4,4,4,3,3,5,5,4,5,4,4,2
"490",3,3,5,5,4,5,1,3,5,3,2,4,5,4,5,4,5,4,3,1,2,1,2,5,5,3.56,2
"491",5,5,3,5,1,5,2,4,2,4,2,4,5,5,4,4,5,5,4,1,4,5,5,4,5,3.92,2
"492",5,4,5,3,5,4,3,5,4,5,4,3,1,3,2,1,2,3,2,1,3,2,4,3,1,3.12,2
"493",5,4,5,4,3,4,1,5,4,3,4,3,4,3,4,2,1,4,3,5,4,2,3,3,5,3.52,2
"494",5,4,5,4,5,4,3,5,5,4,5,3,2,1,3,4,3,2,1,3,2,3,4,5,1,3.44,2
"495",5,4,5,4,5,4,1,5,4,5,4,5,4,4,3,2,1,3,2,1,3,4,3,2,5,3.52,2
"496",5,5,4,3,2,1,4,5,4,5,4,5,4,3,2,4,3,4,3,4,5,3,4,3,5,3.76,2
"497",5,1,4,2,4,1,3,5,2,4,1,4,2,5,2,4,2,4,2,4,1,5,2,4,3,3.04,1
"498",4,5,5,3,2,2,1,3,4,2,5,3,1,2,4,3,5,2,4,1,4,2,4,5,1,3.08,1
"499",4,2,5,3,2,4,2,5,2,5,2,5,2,4,1,4,1,4,2,1,5,1,5,3,1,3,1
"500",5,4,3,2,5,1,3,5,4,3,5,3,2,4,3,4,1,4,5,3,5,2,3,5,1,3.4,1
"501",5,4,5,1,2,3,5,5,4,5,4,1,3,4,5,4,3,1,4,5,4,3,3,1,5,3.56,2
"502",5,3,5,3,5,4,1,2,5,3,5,3,4,5,3,5,3,5,3,5,2,5,3,5,2,3.76,2
"503",5,4,5,3,1,2,1,5,4,3,3,2,1,4,3,5,4,3,4,3,1,2,1,3,2,2.96,1
"504",5,4,3,4,5,3,1,5,4,5,3,5,4,5,4,5,2,3,4,2,2,4,3,2,1,3.52,2
"505",4,5,3,2,4,2,1,3,4,2,5,1,1,2,4,3,1,5,3,2,1,4,2,1,5,2.8,2
"506",4,2,5,2,4,1,3,4,2,4,2,5,1,3,2,5,2,3,4,5,3,1,4,2,4,3.08,1
"507",5,2,4,1,3,5,1,4,2,4,1,4,2,3,4,1,3,5,3,2,3,5,2,4,2,3,1
"508",5,4,2,5,3,5,3,3,5,3,5,3,1,5,3,5,2,5,3,5,3,4,2,5,3,3.68,2
"509",4,2,3,5,1,4,2,5,2,1,4,1,4,1,5,3,2,5,3,1,5,2,4,2,4,3,1
"510",5,2,1,5,4,5,3,5,4,5,5,2,1,1,4,4,1,4,2,1,4,1,4,5,4,3.28,1
"511",4,5,3,5,3,5,3,4,5,3,1,5,3,5,3,5,3,5,3,5,3,5,2,5,3,3.84,2
"512",5,4,3,2,1,1,5,5,4,4,3,2,1,1,2,2,3,1,5,4,3,3,3,2,1,2.8,1
"513",3,1,1,1,1,2,2,2,2,4,1,1,2,4,1,4,1,5,5,5,5,1,5,1,5,2.6,1
"514",3,3,3,4,4,5,5,5,5,3,3,3,3,3,4,4,4,4,4,5,2,2,2,1,4,3.52,1
"515",2,3,3,2,2,2,3,2,2,4,4,3,2,3,3,5,5,2,3,3,3,5,5,2,2,3,1
"516",2,2,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,1,2,2,2,4,1,4,2.72,1
"517",4,4,4,4,2,2,1,1,2,2,4,2,2,2,2,1,1,1,2,2,2,2,4,4,5,2.48,1
"518",3,2,3,3,2,2,2,4,4,5,5,5,3,3,2,2,3,5,5,2,2,3,2,3,5,3.2,1
"519",3,2,3,5,2,2,3,3,2,1,1,4,4,5,5,1,2,2,4,4,5,5,5,5,2,3.2,1
"520",2,4,3,4,3,3,3,3,3,3,3,4,3,4,2,4,3,2,2,3,3,3,3,3,2,3,1
"521",3,2,3,3,2,2,3,3,3,2,2,5,3,4,3,4,3,2,3,2,3,2,3,2,3,2.8,1
"522",2,2,4,3,2,2,4,4,2,2,2,5,3,2,2,2,2,3,3,3,4,4,5,5,5,3.08,1
"523",3,4,3,3,3,1,4,4,3,3,1,2,4,3,3,2,4,2,2,2,2,3,3,3,3,2.8,1
"524",3,2,3,3,2,4,3,4,3,3,1,2,3,3,4,3,5,5,3,3,4,5,5,6,3,3.4,2
"525",3,2,3,3,2,3,3,4,3,2,2,3,2,2,4,3,4,5,4,3,3,2,2,2,3,2.88,1
"526",4,3,3,3,2,3,2,3,3,2,2,2,2,3,4,2,4,3,2,3,4,2,2,4,2,2.76,1
"527",5,2,5,4,3,4,2,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,3,3,4,3,1
"528",5,3,3,4,3,4,3,3,3,2,2,3,3,3,3,3,2,4,3,2,2,3,3,2,2,2.92,1
"529",2,3,3,4,2,3,3,3,2,2,3,2,2,3,3,2,3,3,4,4,5,2,2,3,2,2.8,1
"530",2,2,2,4,3,3,3,3,2,2,3,3,3,2,2,3,3,3,2,2,3,3,2,3,3,2.64,1
"531",1,3,1,4,3,3,2,4,2,3,3,3,3,3,3,2,3,4,4,2,2,3,3,2,3,2.76,1
"532",4,2,2,5,3,4,3,4,2,3,3,2,2,3,3,3,4,3,3,3,4,3,2,2,3,3,1
"533",4,3,3,2,3,4,3,2,2,2,4,2,3,2,2,2,3,2,4,4,5,5,2,5,2,3,1
"534",4,2,1,2,3,3,2,2,3,3,2,2,3,3,3,3,3,3,5,5,4,3,3,2,3,2.88,1
"535",4,3,2,3,4,3,2,3,3,3,4,2,2,3,2,3,3,3,4,5,3,4,2,3,2,3,1
"536",4,2,2,2,4,3,3,3,3,2,4,4,3,3,3,3,3,4,3,2,3,3,4,2,3,3,1
"537",5,3,2,4,2,4,3,3,3,3,2,4,3,2,3,2,3,3,5,5,2,3,2,3,3,3.08,1
"538",5,2,4,2,2,4,3,3,3,3,2,2,2,3,2,3,4,3,2,3,2,3,2,3,3,2.8,1
"539",4,3,4,4,3,4,2,3,3,2,2,2,3,2,3,3,4,4,4,5,3,2,2,3,2,3.04,1
"540",4,2,4,2,2,4,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2.64,1
"541",3,3,2,2,3,3,2,3,3,3,3,2,3,3,2,3,2,4,4,5,4,2,2,2,4,2.88,1
"542",2,2,2,2,3,3,4,3,2,3,3,3,3,2,3,3,3,2,3,2,3,2,2,2,3,2.6,1
"543",2,3,4,3,3,3,4,3,3,3,3,2,3,3,2,4,3,2,2,4,2,4,4,4,3,3.04,1
"544",3,3,4,4,2,4,4,3,2,2,2,3,2,3,3,3,2,3,2,2,3,2,3,2,3,2.76,1
"545",3,2,5,2,3,2,2,2,3,2,2,2,3,3,3,4,3,4,4,5,3,2,4,2,4,2.96,1
"546",3,3,2,4,3,3,2,3,2,3,3,3,3,2,3,4,3,3,2,2,2,2,2,2,3,2.68,1
